Time,placement_label,user_acc_x(m/s^2),user_acc_y(m/s^2),user_acc_z(m/s^2),rotation_rate_x(rad/s),rotation_rate_y(rad/s),rotation_rate_z(rad/s),gravity_x(m/s^2),gravity_y(m/s^2),gravity_z(m/s^2),attitude_roll(rad),attitude_pitch(rad),attitude_yaw(rad),target_delta_x,target_delta_y,target_delta_z,target_delta_roll,target_delta_pitch,target_delta_yaw
150000000000.0,2,-0.0274390067,0.14316728335,-0.1651047594,0.036483,-0.029496,0.020632,0.0322246519,-4.2589300285,-8.8335361205,0.003649,0.44925,-0.21255,0.0,0.0,0.0,0.0,0.0,0.0
150000000000.0,2,-0.04489484369999999,0.1344687848,-0.1369792872,0.067307,-0.038284,0.029241,0.02693886755,-4.2614797575,-8.832261255999999,0.00305,0.44954,-0.21219,-0.00019999999999997797,9.999999999998899e-05,9.999999999998899e-05,-0.001320017181580535,2.7769335863014888e-05,-0.00010518487507832353
150000000000.0,2,-0.07593289095,0.1293693268,-0.08264063955,0.076935,-0.039423,0.021788,0.0208685512,-4.265794683499999,-8.830201859499999,0.002363,0.45003,-0.21184,-5.0000000000105516e-05,5.0000000000105516e-05,4.999999999988347e-05,-0.0007487583573368983,8.924458215497921e-05,-2.0162113279931226e-05
150000000000.0,2,-0.06134059575,0.1158557631,-0.03195987235,0.066339,-0.039321,0.006826,0.015700446649999998,-4.270207676,-8.8280443965,0.001778,0.45053,-0.21167,-5.0000000000105516e-05,4.999999999988347e-05,5.0000000000105516e-05,-0.00033788568755888093,-9.625638285970517e-05,-0.0002546850661886424
150000000000.0,2,-0.0356373661,0.08480790919999999,0.0035990405499999995,0.037685,-0.030543,-0.010317,0.01228773245,-4.273149671,-8.8266714655,0.001393,0.45086,-0.21171,-9.999999999998899e-05,-9.999999999998899e-05,5.0000000000105516e-05,-0.00031191690969989416,9.832494321226903e-05,-0.00026958984834002386
150000000000.0,2,-0.0058839899999999995,0.05480936685,0.0471895998,0.00256,-0.025982,-0.019992,0.010522535449999999,-4.2736400035,-8.826377266,0.001192,0.45092,-0.2119,-0.00019999999999997797,9.999999999998899e-05,4.999999999988347e-05,-0.0006798083001219868,8.153164516566669e-05,-0.0005672275074653232
150000000000.0,2,0.01407254275,0.01064021525,0.08593567395,-0.029404,-0.022518,-0.023256,0.0095712904,-4.272169006,-8.827161798,0.001084,0.45075,-0.21216,-9.999999999998899e-05,-4.999999999988347e-05,-4.999999999988347e-05,0.0009085456816668724,0.000454621269665223,-0.00015090056758462755
150000000000.0,2,0.024751984600000002,-0.0249677309,0.07744311505,-0.040063,-0.021364,-0.023277,0.0090613446,-4.269619276999999,-8.8284366625,0.001027,0.45046,-0.21244,-9.999999999998899e-05,-5.0000000000105516e-05,-5.0000000000105516e-05,9.612631597455401e-05,-7.740991582405599e-05,-0.0005794103670389017
150000000000.0,2,0.0034029075499999997,-0.0389127872,0.07202003759999999,-0.037849,-0.012855,-0.025423,0.008865211599999999,-4.2671676145,-8.829515394,0.001004,0.45019,-0.21272,-4.999999999988347e-05,-3.333333333332966e-05,-0.00019999999999997797,0.0021104902023347805,7.970913531729629e-05,0.00022672360437703265
150000000000.0,2,-0.017200864099999998,-0.030498681499999996,0.08266025285,-0.040967,-0.005366,-0.029711,0.0091201845,-4.2647159519999995,-8.8307902585,0.001033,0.4499,-0.21302,-5.0000000000105516e-05,-3.333333333332966e-05,-5.0000000000105516e-05,0.00013013577295817313,0.0004770889682834678,-0.00041373349099060874
150000000000.0,2,-0.01793636285,-0.02625240205,0.06409626439999999,-0.045169,0.002128,-0.030799,0.0101596894,-4.261577824,-8.832261255999999,0.00115,0.44955,-0.21334,-9.999999999998899e-05,-3.333333333332966e-05,-4.999999999988347e-05,0.0004783217018017316,-5.051795452537533e-05,-0.00028021101526143344
150000000000.0,2,-0.01179739995,-0.03227368515,0.029567049749999998,-0.046235,0.002137,-0.0308,0.011503200449999999,-4.258145496499999,-8.8339283865,0.001302,0.44916,-0.21367,-9.999999999998899e-05,-4.999999999988347e-05,-9.999999999998899e-05,0.0009167886017458216,0.0003927003864339085,-0.00023410086574304767
150000000000.0,2,0.016416332099999997,-0.0344213415,0.03072423445,-0.048386,-0.002104,-0.033999,0.0130624578,-4.254517036,-8.8356935835,0.001478,0.44875,-0.21404,-9.999999999998899e-05,-5.0000000000105516e-05,-9.999999999998899e-05,0.0005811501728353319,-0.00024553924722736653,-0.0003289313154933582
150000000000.0,2,0.020299765499999997,-0.0063154826,0.01636729885,-0.040807,0.006368,-0.04254,0.01546508705,-4.2506924425,-8.8374587805,0.00175,0.44832,-0.21451,-9.999999999998899e-05,-2.4999999999941735e-05,-4.999999999988347e-05,0.00039083088293057067,-0.00019474903198868354,-0.0003193528736209761
150000000000.0,2,0.00383440015,0.04896460345,0.0144746154,-0.025724,0.020104,-0.05001,0.01905432095,-4.247456248,-8.839027844499999,0.002156,0.44796,-0.21504,-9.999999999998899e-05,-2.500000000016378e-05,-5.0000000000105516e-05,0.000282578215295759,-0.0003584219630501373,-0.0003323514731602417
150000000000.0,2,-0.0407172108,0.09036827974999999,0.05543699245,-0.012878,0.029582,-0.0436,0.02276123465,-4.245102652,-8.8402046425,0.002574,0.44768,-0.21551,-9.999999999998899e-05,-2.4999999999941735e-05,-5.0000000000105516e-05,0.00020270619725076822,-0.0003965519154016661,-0.00017890984420881884
150000000000.0,2,-0.03543142645,0.0766095498,0.0346763144,0.00195,0.024118,-0.030755,0.026007235799999997,-4.244023920499999,-8.840694975,0.002942,0.44756,-0.21587,-6.666666666665932e-05,-2.4999999999941735e-05,-4.999999999988347e-05,0.0015020729514033104,-5.001555014283454e-05,0.00014508640165694642
150000000000.0,2,-0.027233067049999997,0.05443671415,0.0184561153,0.012463,0.011232,-0.02004,0.027831272699999996,-4.244121987,-8.8405969085,0.003148,0.44758,-0.21611,-6.666666666665932e-05,-1.6666666666775853e-05,-0.00010000000000021103,-0.0005420601086693067,-0.0007915040211599056,-0.0004465927676436665
150000000000.0,2,-0.02013305245,0.011836626549999998,0.0006472389,0.011252,-0.004745,-0.016812,0.028056825649999995,-4.245102652,-8.8402046425,0.003174,0.44768,-0.21629,-6.666666666665932e-05,-1.666666666655381e-05,1.1111111111183902e-05,-0.00021748482742667274,-4.168703734008794e-05,-0.00022182939208176267
150000000000.0,2,-0.00608992965,-0.01038524235,-0.012552512,0.005805,-0.022809,-0.023194,0.027193840449999996,-4.245789117499999,-8.8398123765,0.003076,0.44776,-0.21652,-9.999999999998899e-05,-1.666666666655381e-05,1.1111111111183902e-05,-0.000416229280438718,-0.0003481678012677847,-0.0005053931326423899
